code,description
abk,Abkhaz (Abkhazians)
abr,Aboriginal-Australians (Aborigines)
ace,Acehnese (Achinese)
acg,Achang
ach,Acholi
adi,Adivasi
adj,Adjarians (Adzhars)
ady,Adyghe (Circasians)
aar,Afar
afr,Afrikaners
ahm,Ahmadis
ain,Ainu
aja,Aja
aka,Akan (Asante)
aku,Aku (Creoles)
alb,Albanians
ale,Aleut
alg,Algonquian
alt,Altay (Altai)
alu,Alur
amb,Ambonese (Amboinese)
ame,Americo-Liberians
amh,Amhara
anp,Angika speakers
nyn,Ankole
apa,Apache
ara,Arab
arg,Aragonese
arp,Arapaho
arw,Arawak
atg,Argentinians
arm,Armenian
rup,Aromanians
twi,Ashanti
asa,Asian
asm,Assamese
asy,Assyrian
ast,Asturian
ata,Atacamenos
ath,Athabaskan
aus,Australians
auu,Austrians
awa,Awadhi
aym,Aymara
znd,Azande (Azande-Mangbetu)
aze,Azerbaijani (Azeri)
bad,Baganda
bii,Bai
bkn,Bakongo
bkw,Bakweri
bln,Balanta
ban,Balinese
blk,Balkars
bal,Baloch (Baluchis)
bmr,Bamar (Barman)
bam,Bambara
bai,Bamileke
bnt,Bantu
bny,Banyarwanda
bar,Bari
brb,Bariba
bak,Bashkirs
bas,Basoga (Bassa/Duala)
baq,Basque
bst,Baster
btk,Batak
bke,Bateke
bej,Beja
bel,Belarusians (Byelorussians)
bem,Bemba
ben,Bengali-Hindu (Bengali)
bni,Beni-Shugal-Gumez
ber,Berber
bte,Beti-Pahuin (Beti)
bey,Beydan (White Moors)
bho,Bhojpuri
bik,Bicolano
bih,Bihari
byn,Bilen
afa,Black-African (Africans)
blg,Blang
bod,Bodo
bol,Bolivia
bon,Bonan
bos,Bosniaks
brh,Brahui
bre,Breton
bra,Brijwasi
bug,Bugis
bul,Bulgarian
brk,Burakumin
bua,Buryat
bsh,Bushmen (San)
bou,Buyei
cab,Cabindan-Mayombe
cad,Caddo
cap,Cape Verdean
cat,Catalan
ava,Caucasian Avars (Avars)
ceb,Cebuano
chg,Chagatai
cmc,Cham
cha,Chamorro
che,Chechen
chr,Cherokee
chw,Chewa
nya,Chewa (Nyanja speakers)
chy,Cheyenne
chl,Chileans
chi,Chinese (Mainland Chinese)
chn,Chinook
chp,Chipewyan
cho,Choctaw
cht,Ch’orti’ (Chorti)
chc,Chukchi
chk,Chuukese
chv,Chuvash
col,Colombian
rar,Cook Islands Maori
cor,Cornish
cos,Corsican
csr,Costa Ricans
cot,Cotiers
cre,Cree
crp,Creole
crh,Crimean Tatar
hrv,Croats
cus,Cushitic
cze,Czech
dai,Dai
dal,Dalit (Backward classes/castes)
dam,Damara
dan,Danes
dar,Dargwa (Dargins)
dau,Daur
day,Dayak
din,Dinka
dje,Djerma-Songhai
doi,Dogras
dgr,Dogrib
dom,Dominicans
don,Dong
dox,Dongxiang
dra,Dravidian
dru,Druze
dua,Duala
dut,Dutch (Flemings)
dyu,Dyula
ein,East Indian
eat,East Timorese
ecu,Ecuadorians
bin,Edo
efi,Efik
eka,Ekajuk
eng,English
cpe,English-Creole
esh,Eshira (Bapounou)
est,Estonian
eur,Europeans
eve,Evenks
ewe,Ewe
ewo,Ewondo
fan,Fang (Estuary Fang)
fat,Fante
fao,Faroese
fij,Fijian
fil,Filipino
fiu,Finno-Ugric
fin,Finns
fon,Fon
fre,French
cpf,French-Creole
frr,Frisians
fur,Friulan
ful,Fula (Fulani)
fru,Fur
ada,Ga (Ga-Adangbe)
gla,Gaels
glg,Galician
gar,Garifuna (Garifs)
gay,Gayo
gba,Gbaya (Baya)
gel,Gelao (Gelo)
geo,Georgian
ger,German
gia,Gia Rai
gin,Gin (Jing)
gio,Gio
gon,Gondi
gor,Gorontalonese (Gorontalos)
gra,Grassfielders
grb,Grebo
gre,Greek
gun,Guan
grn,Guarani
gua,Guatemalan
guj,Gujarati
gwi,Gwich’in
had,Hadjerai
hai,Haida
hat,Haitian
hni,Hani
har,Harari
hrt,Haratin (Black Moors)
hau,Hausa (Hausa-Fulani)
haw,Hawaiian
haz,Hazara
her,Herero
hil,Hiligayon
hgh,Hill Tribes
him,Himachali
hmo,Hiri Motu
hmn,Hmong
hoa,Hoa
hon,Hondurans
hui,Hui
hun,Hungarian
hup,Hupa
hut,Hutu
iba,Iban
ice,Icelanders
ibo,Igbo
ijo,Ijaw
ilo,Ilocono
idn,Indian
idg,Indigenous
ind,Indonesian
inh,Ingush
iku,Inuit
ipk,Inupiat
ira,Iranian
gle,Irish
iro,Iroquois
ita,Itallian
jpn,Japanese
jav,Javanese
jew,Jewish
jin,Jino (Jinuo)
jol,Jola (Diola)
kbd,Kabarday (Kabardins)
kby,Kabye (Kabre)
kab,Kabyle
kac,Kachin
kad,Kadazan
kak,Kakwa-Nubian
kal,Kalaallit
car,Kali’na
xal,Kalmyk
kam,Kamba
kan,Kannada
kau,Kanuri (Kanouri)
kao,Kaonde
pam,Kapampangan
kch,Karachays (Karachai)
kaa,Karakalpak
krm,Karamojong
krl,Karelians
kar,Karen (Kayin)
kas,Kashmiri
csb,Kashubian
kav,Kavango
kaz,Kazakhs
khk,Khakas
kha,Khasi
khm,Khmer (Khmer Loei)
khu,Khmu
khi,Khoikhoi
kik,Kikuyu
kin,Kinyarwanda Speakers
gil,Kiribati
kis,Kisii
kok,Kokani
kom,Komi (Komi-Permyaks)
kon,Kongo (Bakongo)
kno,Kono
kor,Korean
kos,Kosraean
kou,Kouyou
kpe,Kpelle (Guerze)
krh,Krahn (Guere)
kro,Kru
kut,Ktunaxa
kum,Kumyks
kur,Kurd
brm,Kurichiya (Hill Barhmins)
kru,Kurukh
kua,Kwanyama
kir,Kyrgyz (Kirghis/Kirgiz)
lhu,Lahu
lak,Lak (Russia)
lam,Lamba
lao,Lao
lar,Lari
ltn,Latinos
ltk,Latoka
lav,Latvian
del,Lenape
len,Lenca
lez,Lezgian (Lezgins)
lii,Li
lba,Limba
lim,Limburgian
lin,Lingala
